"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 17:24:06 GMT 2024","Sun Apr 21 17:24:06 GMT 2024","1","Surefire suite","Surefire test","tests.tests.AllureTest","tests.tests.AllureTest","testNameAndDescription","Тест на проверку логина","Проверяем логин с корректными кредами"
"passed","Sun Apr 21 17:24:06 GMT 2024","Sun Apr 21 17:24:06 GMT 2024","1","Surefire suite","Surefire test","tests.tests.AllureTest","tests.tests.AllureTest","testTMS","testTMS",""
"passed","Sun Apr 21 17:24:04 GMT 2024","Sun Apr 21 17:24:05 GMT 2024","445","Surefire suite","Surefire test","tests.tests.LoginTest","tests.tests.LoginTest","wrongEmailLoginTest","wrongEmailLoginTest",""
"passed","Sun Apr 21 17:24:03 GMT 2024","Sun Apr 21 17:24:04 GMT 2024","1018","Surefire suite","Surefire test","tests.tests.LoginTest","tests.tests.LoginTest","successfulLoginTest","successfulLoginTest",""
"passed","Sun Apr 21 17:24:06 GMT 2024","Sun Apr 21 17:24:06 GMT 2024","0","Surefire suite","Surefire test","tests.tests.AllureTest","tests.tests.AllureTest","testDescription","testDescription","Some detailed test description."
"passed","Sun Apr 21 17:24:06 GMT 2024","Sun Apr 21 17:24:06 GMT 2024","0","Surefire suite","Surefire test","tests.tests.AllureTest","tests.tests.AllureTest","testIssue","testIssue",""
"passed","Sun Apr 21 17:24:06 GMT 2024","Sun Apr 21 17:24:06 GMT 2024","0","Surefire suite","Surefire test","tests.tests.AllureTest","tests.tests.AllureTest","testLink","testLink",""
"passed","Sun Apr 21 17:24:06 GMT 2024","Sun Apr 21 17:24:06 GMT 2024","1","Surefire suite","Surefire test","tests.tests.AllureTest","tests.tests.AllureTest","testSeverity","testSeverity",""
"passed","Sun Apr 21 17:24:06 GMT 2024","Sun Apr 21 17:24:06 GMT 2024","498","Surefire suite","Surefire test","tests.tests.LoginTest","tests.tests.LoginTest","wrongPasswordLoginTest","wrongPasswordLoginTest",""
"passed","Sun Apr 21 17:24:06 GMT 2024","Sun Apr 21 17:24:06 GMT 2024","0","Surefire suite","Surefire test","tests.tests.AllureTest","tests.tests.AllureTest","testName","Human-readable test name",""
